Algorithm,Rank,CompositeScore,ShownInCombinedPlot,Keane_Validity,Keane_Proximity,Keane_Compactness,N_Samples,mean_autocorr_preservation,mean_boundary_distance,mean_class_confidence,mean_l0_norm,mean_l2_distance,mean_manhattan_distance,mean_normalized_distance,mean_percentage_changed,mean_prediction_change,mean_range_validity,mean_segment_sparsity,mean_statistical_similarity,mean_temporal_consistency,evalpy_validity,evalpy_l2_distance,evalpy_euclidean_dist_zscore,evalpy_manhattan_distance,evalpy_normalized_distance,evalpy_dtw_distance,evalpy_l0_norm,evalpy_pct_changed,evalpy_sparsity,evalpy_compactness,evalpy_temporal_consistency,evalpy_autocorr_preservation,evalpy_range_validity,evalpy_keane_validity,evalpy_keane_proximity,evalpy_keane_compactness,evalpy_N_Samples,Runtime_Mean_Seconds,Runtime_Std_Seconds,Runtime_N_Attempts
TimeX,25.0,0.7341224731899345,False,1.0,11.102350598032348,0.06525,8.0,0.998,5.553,0.731,500.0,11.102,193.744,1.0,1.0,1.0,0.989,1.0,0.0,1.0,1.0,11.1024,11.1135,193.7443,0.0945,5.6654,500.0,1.0,0.0,0.0652,1.0,0.9978,0.9892,1.0,11.1024,0.0652,8.0,4.054263304825872,1.4180791467223486,10
TimeX++,26.0,0.6657212139715756,False,1.0,12.398736408268224,0.013714285714285715,7.0,0.989,9.031,0.699,500.0,12.399,217.324,1.0,1.0,1.0,0.948,1.0,0.0,1.0,1.0,12.3987,12.4112,217.324,0.106,8.8198,500.0,1.0,0.0,0.0137,1.0,0.9885,0.9477,1.0,12.3987,0.0137,7.0,7.553257242403925,0.26303764059230905,10
Wachter Genetic,27.0,0.6632262713299245,False,1.0,3.8760396546541296,0.984,10.0,1.0,3.601,0.61,8.0,3.876,10.671,0.735,0.016,1.0,0.949,1.0,0.364,1.0,1.0,3.876,3.8799,10.6711,0.0329,2.9707,8.0,0.016,0.984,0.984,1.0,0.9998,0.9488,1.0,3.876,0.984,10.0,8.846001545060426,3.0138269085272946,10
LASTS,28.0,0.6357605340141236,False,1.0,13.447177735232373,0.013333333333333334,3.0,0.955,7.507,0.654,500.0,13.447,243.403,1.0,1.0,1.0,0.995,1.0,0.001,1.0,1.0,13.4472,13.4606,243.4027,0.1227,7.4698,500.0,1.0,0.0,0.0133,1.0,0.9553,0.9953,1.0,13.4472,0.0133,3.0,9.322981944400818,0.1632492195242315,10
MOC,29.0,0.5927633987813807,False,1.0,9.584653292939661,0.0766,10.0,0.999,6.261,0.705,500.0,9.585,122.662,1.0,1.0,1.0,0.933,1.0,0.125,1.0,1.0,9.5847,9.5943,122.6619,0.0812,7.6529,500.0,1.0,0.0,0.0766,1.0,0.9993,0.9328,1.0,9.5847,0.0766,10.0,12.175343571137637,0.10792809982391846,10
COMTE,30.0,0.5492106716952594,False,1.0,7.800598414457104,0.0012000000000000001,10.0,0.996,1.931,0.731,500.0,7.801,166.853,0.996,1.0,1.0,0.936,1.0,0.401,1.0,1.0,7.8006,7.8084,166.8534,0.0664,6.4111,500.0,1.0,0.0,0.0012,1.0,0.9963,0.9364,1.0,7.8006,0.0012,10.0,15.538117391057312,2.8571594161366223,10
SETS,31.0,0.5360469946575019,False,1.0,14.26057363018055,0.3776,10.0,0.994,11.454,0.563,315.1,14.261,198.653,1.0,0.63,1.0,0.951,1.0,0.457,1.0,1.0,14.2606,14.2749,198.6535,0.1216,5.1398,315.1,0.6302,0.3698,0.3776,1.0,0.9945,0.951,1.0,14.2606,0.3776,10.0,16.637702009640634,0.37474177250705965,10
COMTE-TS,32.0,0.49908137834447086,False,1.0,7.7985383160065,0.0084,10.0,0.996,1.933,0.731,500.0,7.799,153.429,0.996,1.0,1.0,0.938,1.0,0.351,1.0,1.0,7.7985,7.8063,153.4287,0.0651,6.0837,500.0,1.0,0.0,0.0084,1.0,0.9963,0.938,1.0,7.7985,0.0084,10.0,20.11210821578279,0.9789111921050063,10
CGM,33.0,0.46760652375021944,False,1.0,17.294880641892995,0.009714285714285715,7.0,0.962,12.968,0.7,500.0,17.295,307.245,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,17.2949,17.3122,307.2446,0.1469,12.3886,500.0,1.0,0.0,0.0097,1.0,0.9623,1.0,1.0,17.2949,0.0097,7.0,23.463753669429572,2.2964466918596056,10
MASCOTS,34.0,0.2117233365566001,False,1.0,20.02202852572834,0.48333333333333334,6.0,0.999,18.692,0.661,258.333,20.022,263.727,1.0,0.517,1.0,0.856,1.0,0.0,1.0,1.0,20.022,20.0421,263.7271,0.1709,11.8539,258.3333,0.5167,0.4833,0.4833,1.0,0.999,0.8557,1.0,20.022,0.4833,6.0,88.07862282255664,31.75041844088336,10
